datetime,spread,zscore,mu,futures_pos,etf_pos
2025-10-29 10:47:00,-6.15645873426773,-2.250123065943413,-5.911725814163758,-8,83700.0
2025-10-29 10:48:00,-6.172458734267721,-2.397230243186996,-5.911725814163758,-8,83700.0
2025-10-29 10:49:00,-6.1714587342677305,-2.3880360446093536,-5.911725814163758,-8,83700.0
2025-10-29 10:50:00,-6.1637999295058705,-2.317619472760756,-5.911725814163758,-8,83700.0
2025-10-29 10:51:00,-6.172458734267721,-2.397230243186996,-5.911725814163758,-8,83700.0
2025-10-29 10:52:00,-6.17562933188681,-2.426381347306977,-5.911725814163758,-8,83700.0
2025-10-29 10:53:00,-6.178799929505871,-2.455532451426697,-5.911725814163758,-8,83700.0
2025-10-29 10:54:00,-6.167799929505875,-2.354396267071717,-5.911725814163758,-8,83700.0
2025-10-29 10:55:00,-6.182970527124937,-2.49387775412419,-5.911725814163758,-8,83700.0
2025-10-29 10:56:00,-6.180970527124941,-2.4754893569687746,-5.911725814163758,-8,83700.0
2025-10-29 10:57:00,-6.174652917601222,-2.4174040004711443,-5.911725814163758,-8,83700.0
2025-10-29 10:58:00,-6.167652917601231,-2.3530446104271254,-5.911725814163758,-8,83700.0
2025-10-29 10:59:00,-6.162823515220296,-2.308642125925054,-5.911725814163758,-8,83700.0
2025-10-29 11:00:00,-6.149823515220291,-2.189117544414528,-5.911725814163758,-8,83700.0
2025-10-29 11:01:00,-6.170311722363081,-2.377490189386989,-5.911725814163758,-8,83700.0
2025-10-29 11:02:00,-6.175311722363077,-2.4234611822755925,-5.911725814163758,-8,83700.0
2025-10-29 11:03:00,-6.144652917601221,-2.1415780431392624,-5.911725814163758,-8,83700.0
2025-10-29 11:04:00,-6.166482319982151,-2.3422819034626903,-5.911725814163758,-8,83700.0
2025-10-29 11:05:00,-6.160482319982151,-2.2871167119963136,-5.911725814163758,-8,83700.0
2025-10-29 11:06:00,-6.168555825934476,-2.3613461289404665,-5.911725814163758,-8,83700.0
2025-10-29 11:07:00,-6.1561411247440105,-2.247202900912159,-5.911725814163758,-8,83700.0
2025-10-29 11:08:00,-6.16414112474402,-2.3207564895340806,-5.911725814163758,-8,83700.0
2025-10-29 11:09:00,-6.151970527124931,-2.208857598214535,-5.911725814163758,-8,83700.0
2025-10-29 11:10:00,-6.14579992950587,-2.152123898361627,-5.911725814163758,-8,83700.0
2025-10-29 11:11:00,-6.134970527124935,-2.052556222393179,-5.911725814163758,-8,83700.0
2025-10-29 11:12:00,-6.109311722363074,-1.8166440761454523,-5.911725814163758,-8,83700.0
2025-10-29 11:13:00,-6.105164710458439,-1.77851562519003,-5.911725814163758,-8,83700.0
2025-10-29 11:14:00,-6.087994112839354,-1.6206457409818809,-5.911725814163758,-8,83700.0
2025-10-29 11:15:00,-6.070676503315639,-1.4614242001292705,-5.911725814163758,-8,83700.0
2025-10-29 11:16:00,-6.107164710458434,-1.7969040223454453,-5.911725814163758,-8,83700.0
2025-10-29 11:17:00,-6.121652917601224,-1.9301114758515296,-5.911725814163758,-8,83700.0
2025-10-29 11:18:00,-6.1431411247440195,-2.1276783194017637,-5.911725814163758,-8,83700.0
2025-10-29 11:19:00,-6.13897052712494,-2.08933301670414,-5.911725814163758,-8,83700.0
2025-10-29 11:20:00,-6.116652917601229,-1.8841404829629262,-5.911725814163758,-8,83700.0
2025-10-29 11:21:00,-6.11982351522029,-1.9132915870826461,-5.911725814163758,-8,83700.0
2025-10-29 11:22:00,-6.108994112839355,-1.813723911114198,-5.911725814163758,-8,83700.0
2025-10-29 11:23:00,-6.128994112839351,-1.9976078826687425,-5.911725814163758,-8,83700.0
2025-10-29 11:24:00,-6.099676503315649,-1.72805595888351,-5.911725814163758,-8,83700.0
2025-10-29 11:25:00,-6.118505905696566,-1.9011772234736193,-5.911725814163758,-8,83700.0
2025-10-29 11:26:00,-6.106505905696565,-1.7908468405408664,-5.911725814163758,-8,83700.0
2025-10-29 11:27:00,-6.125164710458435,-1.9623995967445744,-5.911725814163758,-8,83700.0
2025-10-29 11:28:00,-6.10750590569657,-1.8000410391186394,-5.911725814163758,-8,83700.0
2025-10-29 11:29:00,-6.11516471045843,-1.8704576109672368,-5.911725814163758,-8,83700.0
2025-10-29 11:30:00,-6.11216471045843,-1.8428750152340487,-5.911725814163758,-8,83700.0
